album_id,additional_artist
4371,Michael Gira
4372,Daniel Davison
4376,Mac McCaughan
4404,Dan Auerbach
4427,Joe Pisapia
4441,Jona Weinhofen
4452,Gabe Witcher
4490,Joe Westerlund
4505,Shayde Sartin
4516,Tom Watt
4532,Rob King
4538,John Darnielle
4546,Bethany Cosentino
4548,David Hidalgo
4564,Jesse Kristin
4580,Jack Wyllie
4587,Joe Preston
4590,Edward Anderson
4601,Pall A. Jenkins
4604,Michael Collins
4613,Tobias Winterkorn
4619,Patrick Keeler
4621,Mark Lanegan
4622,Daniel Cundiff
4626,Michael Vidal
4633,Rhett Miller
4650,John Robert Cardwell
4703,Caroline Yes!
4706,Alexander Abnos
4714,Z. Berg
4721,David Gilmour
4734,Kevin Robinson
4738,Stephen Christian
4741,Markus Popp
4751,Vincent Kircher
4763,Laetitia Sadier
4764,Shiraz Dada
4781,Stephanie Bailey
4784,Joe Yarmush
4799,Charlie Brand
4811,Alejandra De Heza
4838,Tom Linton
4859,Ritsuko
4868,Matt Cherry
4877,Mike Shinoda
4878,Page Hamilton
4890,Maria Taylor
4899,Frances McKee
4912,Martin Cooper
4941,Dhani Harrison
4946,Walker Howle
4952,Danny Molad
4995,Huey Lewis
5000,Tim Lopez
5001,Danny Fujikawa
5008,Rivers Cuomo
5018,Sean Lennon
5020,Sebastian Ingrosso
5042,Tariq Trotter
5053,Mike Sullivan
5058,Dan
5075,Steve Marion
5079,Mike D
5084,Miles Whittaker
5086,BrÃ¤nn Dailor
5098,Dustin Kensrue
5111,Chris Browne
5116,Seun Kuti
5131,Rachel Unthank
5133,Jenn Wasner
5143,Ken Casey
5145,Sidi Touré
5156,Black Milk
5158,Taylor Goldsmith
5161,Mimi Parker
5165,Justin Adams
5170,Nick Chiericozzi
5187,James Petralli
5196,Stephen Ramsay
5197,Stephen Lacour
5215,Taylor Hawkins
5227,Patterson Hood
5228,Jorma Taccone
5236,Matt Greiner
5242,Alexander Ellis
5249,Tessa Murray
5258,Ross Flournoy
5263,Steve Noble
5272,Patrick James Grossi
5275,Jon Wurster
5281,Paul Waggoner
5286,Chad Taylor
5289,Richard Boucher
5291,Robert Smith
5293,Mark O'Connell
5296,Master J.D. Landfrog
5307,Sonny Smith
5310,Alison Krauss
5313,Heather McEntire
5318,Tim McIlrath
5323,Ben Knox Miller
5325,Anthony Paul Rivera
5333,Kip Berman
5339,John McCauley
5347,Alan Palomo
5350,Owain Davies
5354,Jessi Darlin
5357,Matt Pond
5358,Ian Perkins
5361,Johan AngergÃ¥rd
5362,Amy Cole
5363,Noel Heroux
5368,Stephen James Wilkinson
5373,Aaron Parks
5376,Ryan Key
5379,Justin Klug
5382,Ulrich Lenffer
5393,Katie Stelmanis
5404,Jake Portrait
5406,William McCarthy
5409,Thom Powers
5410,Rory McClure
5412,James Singleton
5414,Atsuo
5416,Eric Cardona
5421,Jimmy Carter
5428,Jake Orrall
5432,Ben Browning
5433,Benjamin John Power
5435,Gabe Darling
5440,Joshua Hodges
5441,Chris Rusk
5443,Benjamin Gibbard
5444,John McCauley
5445,Garron Dupree
5471,Crazy Abe
5480,Robin Christian
5482,Mick Collins
5494,Kevin Sim
5496,Warner Emery
5501,Kevin Morby
5504,Mark Olson
5523,Xavier De Rosnay
5525,Jesse Leach
5531,Noel Gallagher
5533,Alasdair MacLean
5540,Julie Budet
5541,RJD2
5542,Jesse Todd
5546,Holly Throsby
5548,Joshua Carter
5550,Hagai Fershtman
5551,Mark Foster
5558,John Barrett
5560,Santiago Archila
5571,Skream
5574,Dan Walker
5581,Pietro Amato
5588,Alex Gehring
5589,Joseph Shabalala
5598,Nathan Ward
5606,Matthew Allen
5609,Derek Fudesco
5611,Jason Hill
5613,Charlie Fink
5617,Dayve Hawk
5620,Brian Moen
5629,Kate Cooper
5635,Sune Rose Wagner
5648,Jon Fell
5650,Kickball Katy
5656,Alec Empire
5662,Chris Martin
5663,Michael O'Neill
5675,Hollie Kenniff
5676,Dave King
5678,Andy R.
5681,Jesse Hodges
5686,Darroh Sudderth
5698,Yuki Chikudate
5701,Chris Lynch
5711,Sharon den Adel
5715,Tyler Williams
5719,Kyle Wilson
5722,Klas Ã…hlund
5724,Richard Archer
5726,BrÃ¤nn Dailor
5729,Jen Weidl
5744,Kevin O'Connor
5751,Tim Robbins
5753,Alex Ridha
5754,Arun Bali
5758,Pat Thomas
5760,Harry McVeigh
5764,Fredrik Aspelin
5765,Elisa Ambrogio
5767,Steven Chen
5780,Sameer Gadhia
5791,Matt Cameron
5801,Jonathan Russell
5804,Felix Rodriguez
5806,Luke Pritchard
5811,Dave Stewart
5814,Gavin Rossdale
5824,Deryck Whibley
5831,Samuel Jackson
5841,Moritz von Oswald
5843,Michael Gira
5858,Matt Pike
5884,Nick Chiericozzi
5886,Ryan Key
5923,Efrim Menuck
5933,Alex Webster
5941,Jon Wurster
5964,Brad Mehldau
5967,Paul Maroon
5985,Alex Neilson
5986,Joe Goddard
5992,Leah Gibson
5997,Chris Bug
6006,Michael Trent
6011,Jamie Stewart
6018,Ben Jaffe
6021,Spencer Krug
6045,Joakim Nilsson
6048,Fredrik Thordendal
6078,Lucinda Chua
6084,Gabe Witcher
6090,Phil Moore
6098,Lee Smith
6106,Ethan Kath
6117,Steve Johnson
6148,The Sadies
6154,"Takaakira ""Taka"" Goto"
6165,Nathan Michel
6175,LindstrÃ¸m
6177,Matt Armstrong
6180,Dimitri Coats
6189,Aleksa Palladino
6222,Paul Waggoner
6233,Jason Black
6255,Billy Gibbons
6266,Miles Michaud
6273,Andrya Ambro
6275,Mike Dean
6284,Scott Thompson
6286,Wesley Keith Schultz
6288,Ethan Miller
6295,Corrina Repp
6297,Ben Ellman
6300,BenoÃ®t Pioulard
6317,Matt Molloy
6320,Timothy Seth Avett
6326,Omar Rodriguez-Lopez
6353,Will Schwartz
6354,Matt Williams
6363,Tony Allen
6371,Anthony Anzaldo
6372,Wolfgang Voigt
6429,Pete Feigenbaum
6453,Dominic Hand
6474,Chris Head
6479,Martin Gore
6487,Brandon Young
6488,Paul Jenkins
6493,Marsden
6500,Darryl Jenifer
6506,Michael Tapper
6524,Erik Arnesen
6534,Julian Dorio
6560,Justin Hawkins
6565,Christopher Lloyd Hayden
6566,Arnar Renkranz Hilmarsson
6579,Jake Turner
6583,Jon Philpot
6586,Joe Walsh
6588,Shannon F.
6599,Brandon Summers
