album_id,album_title,primary_artist,label,release_date,metascore
2020-0,Sawayama,Rina Sawayama,Dirty Hit,17/04/2020,95
2020-1,Song for Our Daughter,Laura Marling,Chrysalis Records,10/04/2020,91
2020-2,Heaven to a Tortured Mind,Yves Tumor,Warp,03/04/2020,90
2020-3,Future Nostalgia,Dua Lipa,Atlantic,27/03/2020,89
2020-4,We're New Again: A Reimagining by Makaya McCraven,Gil Scott-Heron,XL,07/02/2020,89
2020-5,Saint Cloud,Waxahatchee,Merge,27/03/2020,88
2020-6,Workaround,Beatrice Dillon,Pan,07/02/2020,87
2020-7,Big Conspiracy,J Hus,Black Butter,24/01/2020,87
2020-8,The Night Chancers,Baxter Dury,Heavenly,20/03/2020,86
2020-9,U Kin B The Sun,Frazey Ford,Arts & Crafts,07/02/2020,86
2020-10,Nick of Time,The James Hunter Six,Daptone,06/03/2020,85
2020-11,Every Bad,Porridge Radio,Secretly Canadian,13/03/2020,85
2020-12,Walking Proof,Lilly Hiatt,New West,27/03/2020,85
2020-13,Loom,Katie Gately,Houndstooth,14/02/2020,85
2020-14,Eternal Atake,Lil Uzi Vert,Atlantic,06/03/2020,85
2020-15,Underneath,Code Orange,Roadrunner,13/03/2020,84
2020-16,A Written Testimony,Jay Electronica,Roc Nation,13/03/2020,84
2020-17,Ghosts V: Together,Nine Inch Nails,The Null Corporation,27/03/2020,84
2020-18,It Is What It Is,Thundercat,Brainfeeder,03/04/2020,84
2020-19,Countless Branches,Bill Fay,Dead Oceans,17/01/2020,84
2020-20,Suddenly,Caribou,Merge,28/02/2020,84
2020-21,We Are Sent Here by History,Shabaka & the Ancestors,Impulse!,13/03/2020,84
2020-22,Circles,Mac Miller,Warner Records,17/01/2020,83
2020-23,Your Life Is a Record,Brandy Clark,Warner Bros.,06/03/2020,83
2020-24,3.15.20,Childish Gambino,RCA,22/03/2020,83
2020-25,Dark Matter,Moses Boyd,Exodus,14/02/2020,83
2020-26,Revel in the Drama,Ren Harvieu,Bella Union,03/04/2020,83
2020-27,Out of My Province,Nadia Reid,Spacebomb,06/03/2020,83
2020-28,After Hours,The Weeknd,Island,20/03/2020,83
2020-29,The Long Goodbye,Riz Ahmed,N/A,06/03/2020,83
2020-30,Likewise,Frances Quinlan,Saddle Creek Records,31/01/2020,83
2020-31,Heavy Light,U.S. Girls,4AD,06/03/2020,83
2020-32,Rejoice,Tony Allen,World Circuit,20/03/2020,82
2020-33,Football Money,Kiwi Jr.,Persona Non Grata,17/01/2020,82
2020-34,Companion Rises,Six Organs of Admittance,Drag City,21/02/2020,82
2020-35,England Is a Garden,Cornershop,Ample Play,06/03/2020,82
2020-36,Map of the Soul: 7,BTS,Bighit,21/02/2020,82
2020-37,I'm Your Empress Of,Empress Of,Terrible,03/04/2020,82
2020-38,Nijimusi,OOIOO,Thrill Jockey,17/01/2020,82
2020-39,925,Sorry,Domino,27/03/2020,82
2020-40,color theory,Soccer Mommy,Loma Vista,28/02/2020,81
2020-41,The Loves of Your Life,Hamilton Leithauser,Glassnote Entertainment Group,10/04/2020,81
2020-42,UNLOCKED,Denzel Curry,Loma Vista,07/02/2020,81
2020-43,Before Love Came To Kill Us,Jessie Reyez,Island,27/03/2020,81
2020-44,Ghosts VI: Locusts,Nine Inch Nails,The Null Corporation,27/03/2020,81
2020-45,Land of No Junction,Aoife Nessa Frances,Ba Da Bing Records,17/01/2020,81
2020-46,Let It All In,Arbouretum,Thrill Jockey,20/03/2020,81
2020-47,The Neon Skyline,Andy Shauf,Anti-,24/01/2020,81
2020-48,Superstar,Caroline Rose,New West,06/03/2020,81
2020-49,Modus Vivendi,070 Shake,G.O.O.D.,17/01/2020,80
2020-50,Have We Met,Destroyer,Merge,31/01/2020,80
2020-51,Traditional Techniques,Stephen Malkmus,Matador,06/03/2020,80
2020-52,The Unraveling,Drive-By Truckers,ATO,31/01/2020,80
2020-53,Mind Hive,Wire,Pink Flag,24/01/2020,80
2020-54,X: The Godless Void and Other Stories,...And You Will Know Us by the Trail of Dead,Dine Alone,17/01/2020,80
2020-55,Collector,Disq,Saddle Creek Records,06/03/2020,80
2020-56,Never Not Together,Nada Surf,Barsuk,07/02/2020,80
2020-57,Manic,Halsey,Capitol,17/01/2020,80
2020-58,High Risk Behaviour,The Chats,Bargain Bin!,27/03/2020,80
2020-59,Gigaton,Pearl Jam,Monkeywrench,27/03/2020,80
2020-60,Viscerals,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Rocket Recordings,03/04/2020,79
2020-61,Sorry You Couldn't Make It,Swamp Dogg,Joyful Noise,06/03/2020,79
2020-62,Big Exercise,Homesick,Sub Pop,07/02/2020,79
2020-63,Stray,Bambara,Wharf Cat Records,14/02/2020,79
2020-64,The Allegory,"Royce da 5'9""",eOne,21/02/2020,79
2020-65,Walking Like We Do,The Big Moon,Fiction,10/01/2020,79
2020-66,Are You in Love?,Basia Bulat,Secret City Records,27/03/2020,79
2020-67,Through Water,Låpsley,XL,20/03/2020,79
2020-68,The Slow Rush,Tame Impala,Interscope,14/02/2020,79
2020-69,Miss Anthropocene,Grimes,4AD,21/02/2020,79
2020-70,The Caretaker,Half Waif,Anti-,27/03/2020,79
2020-71,Bonny Light Horseman,Bonny Light Horseman,37d03d,24/01/2020,78
2020-72,I Was Born Swimming,Squirrel Flower,Polyvinyl,31/01/2020,78
2020-73,Cape God,Allie X,Twin Records,21/02/2020,78
2020-74,Seeking Thrills,Georgia,Domino,10/01/2020,78
2020-75,Honeymoon,Beach Bunny,Mom + Pop Music,14/02/2020,78
2020-76,All or Nothing,Shopping,FatCat Records,07/02/2020,78
2020-77,Swimmer,Tennis,Mutually Detrimental,14/02/2020,78
2020-78,Ordinary Man,Ozzy Osbourne,Epic,21/02/2020,78
2020-79,Fungus II,Wasted Shirt,Revolver USA,28/02/2020,78
2020-80,Storm Damage,Ben Watt,Caroline,31/01/2020,78
2020-81,Spook the Herd,Lanterns on the Lake,Bella Union,21/02/2020,78
2020-82,The Main Thing,Real Estate,Domino,28/02/2020,77
2020-83,Silver Tongue,Torres,Merge,31/01/2020,77
2020-84,Beat Poetry for Survivalists,Luke Haines,Omnivore,06/03/2020,77
2020-85,LP5,John Moreland,Old Omens,07/02/2020,77
2020-86,Local Honey,Brian Fallon,Orchard,27/03/2020,77
2020-87,El Dorado,Marcus King,Universal,17/01/2020,77
2020-88,The New Abnormal,The Strokes,RCA,10/04/2020,76
2020-89,Illusion of Time,Daniel Avery,Mute,27/03/2020,76
2020-90,Sorry for the Late Reply,Sløtface,Nettwerk,31/01/2020,76
2020-91,Dream On,Alice Boman,Play It Again Sam,17/01/2020,76
2020-92,Marigold,Pinegrove,Rough Trade,17/01/2020,76
2020-93,Rare,Selena Gomez,Interscope,10/01/2020,76
2020-94,Random Desire,Greg Dulli,BMG,21/02/2020,76
2020-95,Be Up a Hello,Squarepusher,Warp,31/01/2020,76
2020-96,Sing in a World That's Falling Apart,Black Lips,Fire Records,24/01/2020,76
2020-97,Ur Fun,Of Montreal,Polyvinyl,17/01/2020,76
2020-98,HUMANIST,Humanist,Ignition Records,21/02/2020,75
2020-99,Hyacinth,Spinning Coin,Domino,21/02/2020,75
