userscore_id,album_id,userscore,positive_reviews,mixed_reviews,negative_reviews,total_user_reviews
0,0,8.7,376,12,26,414
1,1,8.7,50,4,2,56
2,2,8.6,28,2,2,32
3,3,8.9,99,7,2,108
4,4,8.8,39,0,2,41
5,5,8.4,11,0,1,12
6,6,8.6,20,0,1,21
7,7,,1,0,0,1
8,8,8.6,11,0,1,12
9,9,8.8,14,0,1,15
10,10,8.8,5,0,0,5
11,11,8.6,17,0,1,18
12,12,8.9,161,1,16,178
13,13,6.8,11,1,5,17
14,14,8.5,29,0,3,32
15,15,8.6,6,1,0,7
16,16,8.6,7,1,0,8
17,17,8.3,9,0,1,10
18,18,7.7,5,2,0,7
19,19,,3,0,0,3
20,20,8,3,1,0,4
21,21,7.8,5,0,1,6
22,22,8.9,124,7,6,137
23,23,,,,,
24,24,8.8,61,1,4,66
25,25,8.8,41,0,4,45
26,26,8.2,10,0,1,11
27,27,8.3,11,2,0,13
28,28,8.9,1007,19,81,1107
29,29,8.5,294,15,23,332
30,30,7.8,4,0,1,5
31,31,8.2,30,4,3,37
32,32,8.8,60,1,5,66
33,33,,2,0,0,2
34,34,,1,0,0,1
35,35,7.2,4,0,1,5
36,36,8.6,9,1,0,10
37,37,8.2,126,13,13,152
38,38,,2,0,0,2
39,39,8.8,72,3,6,81
40,40,,1,0,0,1
41,41,8.5,42,4,2,48
42,42,8.9,36,0,3,39
43,43,8.8,55,2,5,62
44,44,9,1544,29,130,1703
45,45,,1,0,0,1
46,46,8.7,19,1,0,20
47,47,8,4,1,0,5
48,48,8.7,25,0,3,28
49,49,,2,0,0,2
50,50,8.2,7,2,0,9
51,51,8.4,13,0,1,14
52,52,8.3,4,0,0,4
53,53,8.1,11,2,1,14
54,54,8.8,121,3,11,135
55,55,8,6,1,1,8
56,56,8.6,19,0,2,21
57,57,8.1,11,0,2,13
58,58,8.8,63,0,7,70
59,59,,,,,
60,60,8.5,92,2,8,102
61,61,8.7,11,0,1,12
62,62,7.8,5,0,1,6
63,63,8.8,13,1,1,15
64,64,8.2,5,0,1,6
65,65,7.4,5,0,2,7
66,66,8.6,6,1,0,7
67,67,,,,,
68,68,,1,0,0,1
69,69,7.8,4,0,1,5
70,70,8.2,5,1,0,6
71,71,6.9,14,2,3,19
72,72,6.8,3,0,1,4
73,73,8.4,11,2,0,13
74,74,8.7,13,1,1,15
75,75,8.6,6,1,0,7
76,76,,2,0,0,2
77,77,7.4,5,1,1,7
78,78,,2,0,1,3
79,79,7.7,6,0,1,7
80,80,8.8,145,0,11,156
81,81,8.1,6,0,1,7
82,82,8.6,13,0,1,14
83,83,,,,,
84,84,7.8,365,42,51,458
85,85,8.7,324,19,6,349
86,86,8.9,133,3,9,145
87,87,8.3,100,8,3,111
88,88,7.5,5,0,1,6
89,89,,1,0,0,1
90,90,6.9,6,0,3,9
91,91,8.5,18,0,2,20
92,92,8,4,1,0,5
93,93,,,,,
94,94,8,19,1,2,22
95,95,8.3,51,3,2,56
96,96,8.5,41,4,3,48
97,97,8.7,37,1,4,42
98,98,,3,0,0,3
99,99,8.1,7,4,0,11
100,100,8.6,5,0,0,5
101,101,8.7,7,2,0,9
102,102,,2,0,0,2
103,103,8.5,22,4,0,26
104,104,,,,,
105,105,8.7,82,2,8,92
106,106,8.3,11,0,2,13
107,107,,1,0,0,1
108,108,7.4,4,0,1,5
109,109,8.4,31,1,5,37
110,110,6.8,16,1,5,22
111,111,8.6,21,0,1,22
112,112,,1,0,0,1
113,113,,3,0,0,3
114,114,8.7,14,1,1,16
115,115,,,,,
116,116,,2,0,0,2
117,117,7.2,13,3,1,17
118,118,,,,,
119,119,,1,0,1,2
120,120,8.3,19,2,2,23
121,121,7.1,17,1,7,25
122,122,8.4,4,1,0,5
123,123,,,,,
124,124,8.6,8,0,1,9
125,125,8.6,8,1,1,10
126,126,,,,,
127,127,8.5,7,0,1,8
128,128,6.6,4,0,1,5
129,129,,1,1,0,2
130,130,,,,,
131,131,8.8,64,4,6,74
132,132,,,,,
133,133,,2,0,0,2
134,134,8.8,71,4,2,77
135,135,8.7,46,4,4,54
136,136,,,,,
137,137,8.1,9,4,0,13
138,138,7.7,36,1,9,46
139,139,7.4,6,0,2,8
140,140,,0,1,0,1
141,141,,2,1,0,3
142,142,7.6,13,0,4,17
143,143,8.4,9,0,1,10
144,144,7.1,7,1,1,9
145,145,8.5,28,1,2,31
146,146,,0,1,1,2
147,147,8.3,124,10,16,150
148,148,8.8,84,5,8,97
149,149,8,10,0,1,11
150,150,7.8,5,1,0,6
151,151,7.5,12,1,2,15
152,152,7.6,16,2,2,20
153,153,7.8,131,15,24,170
154,154,7.4,30,4,8,42
155,155,8.4,89,2,13,104
156,156,8.7,132,5,11,148
157,157,7.3,11,0,4,15
158,158,9,574,21,32,627
159,159,8.9,154,7,10,171
160,160,8.6,73,2,7,82
161,161,7.6,5,1,1,7
162,162,9,379,14,23,416
163,163,8.7,248,5,20,273
164,164,8.6,19,1,1,21
165,165,8.7,41,1,4,46
166,166,8.3,9,1,1,11
167,167,8.8,25,0,2,27
168,168,8.9,187,3,12,202
169,169,8.5,20,1,2,23
170,170,8.3,7,0,1,8
171,171,8.2,5,0,1,6
172,172,8.8,144,4,6,154
173,173,7.6,8,0,2,10
174,174,8.4,14,0,1,15
175,175,8.7,9,0,1,10
176,176,8.2,8,1,1,10
177,177,8.8,49,1,2,52
178,178,8.6,16,0,0,16
179,179,8.8,100,2,9,111
180,180,8.8,16,0,1,17
181,181,8.3,7,2,0,9
182,182,,0,0,1,1
183,183,7.7,5,0,1,6
184,184,8.8,15,0,1,16
185,185,8.8,29,0,2,31
186,186,8.4,12,0,1,13
187,187,8.5,11,1,1,13
188,188,,0,0,1,1
189,189,8.7,18,0,2,20
190,190,8.5,29,1,3,33
191,191,7.8,9,3,1,13
192,192,8.7,16,0,2,18
193,193,8.7,7,0,0,7
194,194,8,4,0,0,4
195,195,8.4,7,0,1,8
196,196,7.6,4,0,1,5
197,197,8.5,12,2,0,14
198,198,8.6,24,1,2,27
199,199,7.7,6,0,1,7
200,200,7.8,5,0,1,6
201,201,8,7,0,1,8
202,202,8.5,15,3,1,19
203,203,8,3,1,0,4
204,204,8.4,69,10,4,83
205,205,8,5,0,0,5
206,206,8.8,13,0,0,13
207,207,8.8,5,0,0,5
208,208,8.7,6,0,0,6
209,209,,2,1,0,3
210,210,,3,0,0,3
211,211,8.7,7,0,0,7
212,212,,2,0,0,2
213,213,8.7,36,0,1,37
214,214,,2,0,1,3
215,215,8.7,24,0,3,27
216,216,7.9,8,0,2,10
217,217,8.3,9,0,1,10
218,218,6.8,4,0,1,5
219,219,,0,1,0,1
220,220,8.7,49,8,1,58
221,221,8.3,11,1,2,14
222,222,8.5,14,1,1,16
223,223,8.3,3,0,1,4
224,224,8.6,28,0,3,31
225,225,8.2,10,2,1,13
226,226,8.1,12,1,2,15
227,227,6.4,4,1,2,7
228,228,,3,0,0,3
229,229,,3,0,0,3
230,230,8.5,10,1,0,11
231,231,8.5,93,7,2,102
232,232,8.6,42,5,1,48
233,233,8.9,74,5,5,84
234,234,8.7,6,1,0,7
235,235,6.5,3,0,1,4
236,236,8.5,10,0,1,11
237,237,8.6,17,2,0,19
238,238,8.8,7,0,1,8
239,239,8.2,5,0,1,6
240,240,8.4,17,0,2,19
241,241,7.7,6,0,1,7
242,242,8.6,479,22,9,510
243,243,7.8,24,2,3,29
244,244,8.7,17,0,2,19
245,245,,1,0,1,2
246,246,,1,0,0,1
247,247,8.2,34,1,4,39
248,248,,3,0,0,3
249,249,9,540,3,50,593
250,250,8.4,4,1,0,5
251,251,8.7,43,1,4,48
252,252,8.6,8,1,0,9
253,253,,2,0,0,2
254,254,8.9,455,5,29,489
255,255,,,,,
256,256,,1,0,0,1
257,257,8.7,18,2,1,21
258,258,8.2,142,20,7,169
259,259,,3,0,0,3
260,260,,2,0,1,3
261,261,8.9,375,10,23,408
262,262,8.1,6,0,1,7
263,263,7.8,4,0,1,5
264,264,8.6,41,5,3,49
265,265,7.1,5,0,2,7
266,266,8.3,5,0,1,6
267,267,8.3,12,1,2,15
268,268,7.9,6,0,1,7
269,269,,1,1,1,3
270,270,8.4,34,5,1,40
271,271,8,66,7,9,82
272,272,7.5,18,2,2,22
273,273,6.4,3,1,1,5
274,274,,2,0,0,2
275,275,8.7,23,0,2,25
276,276,,3,0,0,3
277,277,8.5,13,0,1,14
278,278,8.8,4,0,0,4
279,279,5.6,9,1,5,15
280,280,,1,0,0,1
281,281,8.6,14,0,2,16
282,282,7.3,3,0,1,4
283,283,6.7,4,0,2,6
284,284,8.8,276,9,5,290
285,285,8.4,6,0,1,7
286,286,8.8,45,0,3,48
287,287,,1,0,0,1
288,288,7.2,4,0,1,5
289,289,,2,0,0,2
290,290,8.8,39,3,1,43
291,291,,1,0,0,1
292,292,8.4,23,0,3,26
293,293,8.3,5,1,0,6
294,294,,2,0,1,3
295,295,8.6,14,2,1,17
296,296,8,3,0,1,4
297,297,8.8,19,1,1,21
298,298,,2,0,1,3
299,299,8.6,5,0,0,5
300,300,,2,0,0,2
301,301,8.3,10,0,1,11
302,302,8.7,142,6,7,155
303,303,8.5,107,4,7,118
304,304,8.5,21,3,0,24
305,305,8.8,92,5,7,104
306,306,8.4,8,1,0,9
307,307,,,,,
308,308,8.3,41,5,2,48
309,309,8.5,9,2,0,11
310,310,,2,0,0,2
311,311,,0,1,0,1
312,312,7.4,4,0,1,5
313,313,8.7,32,2,3,37
314,314,7.7,5,0,1,6
315,315,8.6,25,1,2,28
316,316,8.3,209,7,22,238
317,317,8.4,19,2,1,22
318,318,7.7,40,12,4,56
319,319,7.6,9,0,2,11
320,320,8.7,5,1,0,6
